leiden,gene,expression
1,CD3D,2.1059625
3,CD3D,0.0
5,CD3D,2.0618222
12,CD3D,0.0
1,CD3D,2.5940526
10,CD3D,1.1415893
3,CD3D,0.0
14,CD3D,0.0
8,CD3D,2.9069579
2,CD3D,0.0
8,CD3D,0.0
9,CD3D,0.0
5,CD3D,0.929419
5,CD3D,1.3222327
1,CD3D,1.8471754
5,CD3D,0.0
9,CD3D,0.0
5,CD3D,1.7018903
10,CD3D,1.8005635
2,CD3D,0.0
2,CD3D,0.0
5,CD3D,0.0
5,CD3D,1.7403343
1,CD3D,1.4287779
1,CD3D,0.0
3,CD3D,0.0
9,CD3D,0.0
8,CD3D,0.0
9,CD3D,0.0
9,CD3D,0.0
1,CD3D,2.9678564
1,CD3D,2.050332
8,CD3D,0.72692937
0,CD3D,0.0
5,CD3D,1.3814391
1,CD3D,1.5271215
1,CD3D,2.8833513
5,CD3D,2.0537105
1,CD3D,0.0
8,CD3D,2.6131697
1,CD3D,2.4355497
1,CD3D,0.0
1,CD3D,2.5359092
2,CD3D,0.0
1,CD3D,1.046288
1,CD3D,1.9039943
14,CD3D,0.0
12,CD3D,0.0
5,CD3D,1.2854877
1,CD3D,0.0
9,CD3D,0.0
10,CD3D,1.578338
6,CD3D,0.0
5,CD3D,1.8789018
2,CD3D,0.0
9,CD3D,0.0
1,CD3D,2.0674307
1,CD3D,0.0
5,CD3D,2.7294443
7,CD3D,0.0
1,CD3D,1.268152
9,CD3D,0.0
6,CD3D,0.0
5,CD3D,1.0313067
1,CD3D,2.7550685
10,CD3D,0.0
1,CD3D,2.3514884
1,CD3D,0.0
2,CD3D,0.0
0,CD3D,0.0
8,CD3D,0.0
10,CD3D,0.0
11,CD3D,0.0
1,CD3D,0.0
1,CD3D,0.0
5,CD3D,2.2265546
10,CD3D,0.0
10,CD3D,2.0767338
1,CD3D,2.2317343
1,CD3D,2.998369
9,CD3D,0.0
1,CD3D,0.0
5,CD3D,1.8912219
1,CD3D,0.0
1,CD3D,1.9187245
9,CD3D,0.0
12,CD3D,0.0
5,CD3D,0.0
1,CD3D,1.4930514
1,CD3D,0.0
10,CD3D,2.038042
1,CD3D,0.0
9,CD3D,0.0
1,CD3D,2.5221024
3,CD3D,0.0
1,CD3D,2.0462136
1,CD3D,0.0
2,CD3D,0.0
1,CD3D,1.9877665
5,CD3D,0.0
1,CD3D,2.0534847
10,CD3D,1.5911322
14,CD3D,0.0
1,CD3D,0.0
3,CD3D,2.3306916
3,CD3D,0.0
1,CD3D,0.0
5,CD3D,1.6654712
3,CD3D,0.0
3,CD3D,0.0
10,CD3D,2.7315083
9,CD3D,0.0
0,CD3D,0.0
1,CD3D,1.837787
1,CD3D,0.0
5,CD3D,0.0
1,CD3D,0.0
1,CD3D,2.4488087
1,CD3D,2.2724578
6,CD3D,0.0
1,CD3D,2.120244
5,CD3D,2.5761921
1,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
1,CD3D,0.0
5,CD3D,2.546684
3,CD3D,0.0
11,CD3D,0.0
1,CD3D,0.0
0,CD3D,0.0
3,CD3D,0.0
0,CD3D,0.0
3,CD3D,2.0676317
9,CD3D,0.0
10,CD3D,0.0
5,CD3D,1.1714524
10,CD3D,0.0
12,CD3D,0.0
10,CD3D,0.0
12,CD3D,0.0
0,CD3D,0.0
